"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trend_time","trip_duration_sec","travel_mode","trend_wknd_week","trip_scaled_ratio"
"YzNpNm83bm1wMmI0aDo5aTBlcG51czJtcmxq","130520023",20.132983,-98.882082,"1300900010145007",20.219672,-98.91165,"2023-10-12T10:25:15","morning",850,"driving","weekday",7.61
"YnNpZzlrNzF1M3RtdjpiOGxkZXY1NW9zczll","1306300010309040",19.902484,-99.337285,"1306300010309004",19.904888,-99.340503,"2023-10-31T15:58:49","afternoon",442,"walking","weekday",8.77
"M251bzgwMmtpcWgwYTozMDk1NTI0YnRuN2Fn","1306100010319017",19.78996,-98.550088,"1306100010304006",19.791548,-98.554251,"2023-12-09T08:55:44","morning",130,"cycling","weekend",2.74
"N2pjcGQ3NGZrZTYwajo0c2cwZHFkc2Y0b2Fr","1302800010259009",21.141279,-98.412759,"1302800010259001",21.142995,-98.417308,"2023-10-13T04:07:02","night",64,"driving","weekday",6.68
"NWRoMG5wcHA1dXZ2azo4dWlqaTBjMmYwaXBv","1304800012417016",20.115645,-98.740418,"1305100951698008",20.059254,-98.769901,"2023-10-22T00:35:35","night",568,"driving","weekend",17.01
"ODVkdWU1dGNmbnRhMjoxMmQ4a25tbGFsbGNn","1301300290307017",19.893043,-99.223001,"1301300290307017",19.893043,-99.22313,"2023-10-19T13:02:11","afternoon",28,"walking","weekday",1
"ZWowbHRmazlia3VsYzo4NDU2amh0bzc1Z25q","1305100101128023",20.113628,-98.697503,"1305100101128023",20.113585,-98.69746,"2023-12-10T12:57:11","afternoon",831,"driving","weekend",11.15
"OWNkNnNjN3Npb2N0ZjpkNjQwMTBkaHVrdjdr","1306100020431022",19.779532,-98.58043,"1306100020427010",19.776914,-98.569186,"2023-06-20T11:04:36","morning",117,"driving","weekday",13.87
"OXJrYjg3MnJibG9kdjo1dmp2ZDZmbDZ0bm9i","13053004A",20.396311,-98.192346,"1305300010105004",20.393565,-98.202345,"2023-12-04T06:52:28","morning",330,"driving","weekday",8.42
"OTYzbzRpaWgzYXZ2YzpiZHNlY3RuZjEzajBu","130830068",20.028355,-98.805649,"1304800012421042",20.037496,-98.801572,"2023-10-08T00:12:50","night",177,"driving","weekend",6.43
"ZjllaDBsdDgwZHVocTphYnZobmdyOGhjNDU=","1300800010171009",19.708421,-98.456018,"1300800010114013",19.724901,-98.447564,"2023-10-26T15:53:31","afternoon",517,"driving","weekday",8.3
"ZTk1cDh1aXVlcGk5ZzoxbDBlYjNmNnBwZ2pt","1308400010099034",20.735428,-99.38432,"1308400010224012",20.737789,-99.372561,"2023-10-05T08:56:22","morning",126,"driving","weekday",10.49
"ZWIwbTF0bTIzYW0xbDpkZTlxdWtrOHM2NnJv","1302800010494010",21.143811,-98.409069,"1302800010437015",21.145442,-98.406451,"2023-12-25T15:25:44","afternoon",321,"walking","weekday",8.62
"OGNwOXRvdDdnb2hkOTpmbmRnZTJiY2hsdmI=","130690016",19.865363,-98.929546,"130690016",19.87489,-98.934524,"2023-12-01T19:57:17","evening",162,"driving","weekday",16.02
"YjJmbnVlb2s5c2o1Yjo3bDQ4YTBkamlzZTdt","1305100101113036",20.116031,-98.699906,"1305100101113025",20.115645,-98.699949,"2023-06-03T10:52:30","morning",34,"walking","weekend",1
"ZDV1NXRzcDhuZWo0cjpmYmQzZTNhMnZybHY2","1307000010074001",20.136802,-99.231112,"1307000030055017",20.140793,-99.23918,"2023-12-04T06:01:48","morning",1383,"walking","weekday",2.57
"NWpqY3B1MTM4YmI0cDpib3BzMG1qdDM2ZDcy","130370050",20.59767,-98.81861,"130240048",20.203536,-98.568628,"2023-10-30T06:31:40","morning",4621,"driving","weekday",41.31
"OGs1djlxM2xqdTZmazo3Zmpic3Zsc2RtaXBv","130390001006A007",20.14045,-98.691752,"1304800011550023",20.096977,-98.77063,"2023-12-30T19:17:17","evening",788,"driving","weekend",9.18
"MWFmOHFic2tnN283cDozb3E3NjF0aXIxOWE2","1305100141151023",20.07848,-98.737071,"1308300230284030",19.981878,-98.78123,"2023-12-07T19:51:55","evening",1402,"driving","weekday",1
"OXBxbHZwMTdlanJtdjpjcGg3cTk3am4xZzEz","1307700010465009",20.090926,-98.340404,"1307700010658033",20.090196,-98.3371,"2023-06-09T20:16:01","evening",351,"walking","weekday",67.59
"YnZmY3BsZjc1YXJiMjphaTh2ajc3M2Z2aGQ0","1304800011599019",20.110066,-98.72999,"1304800011599019",20.10998,-98.730118,"2023-10-30T20:44:05","evening",17,"walking","weekday",1
"aTdmajk5OWFuYmhkOjNxbHN2OTc3amxjM2w=","130770001054A003",20.098178,-98.352549,"1307700010037039",20.088437,-98.355553,"2023-06-26T10:06:40","morning",234,"driving","weekday",15.27
"ZXFwZmJpMjE4cjRvcTo4bzRjODQ2bzFxYTM5","1304800010548006",20.089638,-98.775136,"1304800010548006",20.089509,-98.775179,"2023-06-21T09:07:10","morning",414,"walking","weekday",21.41
"NjBpcWkybzlqZGtuNzo3bzlycHE0b3RzNXBt","1303000010134018",20.468581,-99.215019,"130840101",20.592735,-99.339473,"2023-12-12T19:01:12","evening",1470,"driving","weekday",48.85
"OWpybnBuNmY5YWRwYzpldmh0aTE0bmwwZWJn","1304800010745024",20.101268,-98.775694,"1304801582686016",20.112383,-98.825734,"2023-10-09T06:00:49","morning",574,"driving","weekday",8.9
"NjUxdHNqYmd0bTBxOTo5OGtnampxZTZqMWNo","1304800012347016",20.105217,-98.756211,"1304800010143027",20.126245,-98.733208,"2023-12-05T08:23:57","morning",362,"driving","weekday",1
"NWdhMWwzNjJnaHIxMzpjbjhoYjM0NGIxNWJp","130050038",20.17534,-99.045589,"1300500060381009",20.17298,-99.038551,"2023-10-18T08:59:06","morning",645,"walking","weekday",139.94
